icao,name,country,type,lat,lon,elev_m,runway,heading_deg,length_m,width_m,surface
EPBA,ALEKSANDROWICE K/BIELSKA BIAŁEJ,PL,airfield_civil,49.80500000,19.00202000,401,04,36,540,50,grass
EPBA,ALEKSANDROWICE K/BIELSKA BIAŁEJ,PL,airfield_civil,49.80500000,19.00202000,401,22,216,540,50,grass
EPBA,ALEKSANDROWICE K/BIELSKA BIAŁEJ,PL,airfield_civil,49.80500000,19.00202000,401,09,87,560,100,grass
EPBA,ALEKSANDROWICE K/BIELSKA BIAŁEJ,PL,airfield_civil,49.80500000,19.00202000,401,27,267,560,100,grass
,ANNOWO,PL,airfield_civil,52.80194000,17.88056000,107,16,158,500,36,grass
,ANNOWO,PL,airfield_civil,52.80194000,17.88056000,107,34,338,500,36,grass
EPBB,BABIĘTA,PL,airfield_civil,53.66806000,21.25472000,155,14,145,732,52,grass
EPBB,BABIĘTA,PL,airfield_civil,53.66806000,21.25472000,155,32,325,732,52,grass
EPAR,ARŁAMOW,PL,airfield_civil,49.65833000,22.51417000,442,17,167,1200,27,asphalt
EPAR,ARŁAMOW,PL,airfield_civil,49.65833000,22.51417000,442,35,347,1200,27,asphalt
EPKG,BAGICZ,PL,airfield_civil,54.20028000,15.68417000,6,07,71,892,40,concrete
EPKG,BAGICZ,PL,airfield_civil,54.20028000,15.68417000,6,25,251,892,40,concrete
,BARANÓW,PL,airfield_civil,52.12194000,20.48167000,90,09,85,655,30,grass
,BARANÓW,PL,airfield_civil,52.12194000,20.48167000,90,27,265,655,30,grass
EPBE,BELCHATOW-KALDUNY,PL,airfield_civil,51.40139000,19.37833000,214,17,169,700,50,grass
EPBE,BELCHATOW-KALDUNY,PL,airfield_civil,51.40139000,19.37833000,214,35,349,700,50,grass
,BEZMIECHOWA,PL,airfield_civil,49.51333000,22.40750000,450,01,11,600,60,grass
,BEZMIECHOWA,PL,airfield_civil,49.51333000,22.40750000,450,19,191,600,60,grass
,BEZMIECHOWA,PL,airfield_civil,49.51333000,22.40750000,450,19,193,250,60,grass
EPBR,BARYT K.ZŁOTORYI,PL,airfield_civil,51.05556000,16.01333000,433,10,98,500,15,grass
EPBR,BARYT K.ZŁOTORYI,PL,airfield_civil,51.05556000,16.01333000,433,28,278,500,15,grass
,BIAŁOUSY,PL,airfield_civil,53.40556000,23.22889000,171,10,97,368,27,grass
,BIAŁOUSY,PL,airfield_civil,53.40556000,23.22889000,171,28,277,368,27,grass
,BORNE SULINOWO,PL,airfield_civil,53.57611000,16.52694000,143,13,126,610,25,grass
,BORNE SULINOWO,PL,airfield_civil,53.57611000,16.52694000,143,31,306,610,25,grass
EPBO,BORSK,PL,airfield_civil,53.95111000,17.94778000,142,10,102,1620,40,concrete
EPBO,BORSK,PL,airfield_civil,53.95111000,17.94778000,142,28,282,1620,40,concrete
EPBK,BIAŁYSTOK KRYWLANY,PL,airfield_civil,53.10097000,23.17194000,149,09R,87,1350,30,asphalt
EPBK,BIAŁYSTOK KRYWLANY,PL,airfield_civil,53.10097000,23.17194000,149,27L,267,1350,30,asphalt
EPBK,BIAŁYSTOK KRYWLANY,PL,airfield_civil,53.10097000,23.17194000,149,09L,87,840,80,grass
EPBK,BIAŁYSTOK KRYWLANY,PL,airfield_civil,53.10097000,23.17194000,149,27R,267,840,80,grass
,BOŻYKOWO,PL,ultralight,54.07472000,21.83472000,150,02,24,294,35,grass
,BOŻYKOWO,PL,ultralight,54.07472000,21.83472000,150,20,204,294,35,grass
EPBI,BRZESKA WOLA,PL,airfield_civil,51.60778000,21.00500000,145,10,95,639,50,grass
EPBI,BRZESKA WOLA,PL,airfield_civil,51.60778000,21.00500000,145,28,275,639,50,grass
,BORAWE,PL,airfield_civil,52.99583000,21.56639000,99,14,142,490,20,grass
,BORAWE,PL,airfield_civil,52.99583000,21.56639000,99,32,322,490,20,grass
,BRODY,PL,ultralight,53.36028000,23.13306000,146,01,5,380,32,grass
,BRODY,PL,ultralight,53.36028000,23.13306000,146,19,185,380,32,grass
,BRODY,PL,ultralight,53.36028000,23.13306000,146,09,90,250,30,grass
,BRODY,PL,ultralight,53.36028000,23.13306000,146,27,270,250,30,grass
,BUCHARZEWO,PL,airfield_civil,52.67861000,16.11194000,44,05,55,400,40,grass
,BUCHARZEWO,PL,airfield_civil,52.67861000,16.11194000,44,23,235,400,40,grass
,BUDY CZARNOCKIE,PL,airfield_civil,53.22306000,22.11639000,146,05,48,290,25,grass
,BUDY CZARNOCKIE,PL,airfield_civil,53.22306000,22.11639000,146,23,228,290,25,grass
EPBY,BYDGOSZCZ,PL,international,53.09667000,17.97778000,72,08,82,2500,60,asphalt
EPBY,BYDGOSZCZ,PL,international,53.09667000,17.97778000,72,26,262,2500,60,asphalt
EPBY,BYDGOSZCZ,PL,international,53.09667000,17.97778000,72,20,209,590,100,grass
EPBY,BYDGOSZCZ,PL,international,53.09667000,17.97778000,72,02,29,590,100,grass
,BYSTRZYCA KŁODZKA,PL,airfield_civil,50.30861000,16.64611000,380,09,92,450,200,grass
,BYSTRZYCA KŁODZKA,PL,airfield_civil,50.30861000,16.64611000,380,27,272,450,200,grass
,CHALIN,PL,airfield_civil,52.58611000,16.03361000,87,16,165,300,50,grass
,CHALIN,PL,airfield_civil,52.58611000,16.03361000,87,34,345,300,50,grass
,CHEŁMŻA-KUCZWAŁY,PL,airfield_civil,53.15889000,18.64222000,88,09,89,406,25,grass
,CHEŁMŻA-KUCZWAŁY,PL,airfield_civil,53.15889000,18.64222000,88,27,269,406,25,grass
,CHOBOT,PL,airfield_civil,52.25028000,21.40667000,118,15,151,310,35,grass
,CHOBOT,PL,airfield_civil,52.25028000,21.40667000,118,33,331,310,35,grass
EPCE,CEWICE,PL,military,54.41619000,17.76333000,148,07,76,2518,60,asphalt
EPCE,CEWICE,PL,military,54.41619000,17.76333000,148,25,256,2518,60,asphalt
,CHOJNA,PL,airfield_civil,52.93944000,14.43083000,50,09,92,1090,40,concrete
,CHOJNA,PL,airfield_civil,52.93944000,14.43083000,50,27,272,1090,40,concrete
EPNC,CHRCYNNO,PL,airfield_civil,52.57403000,20.87167000,106,10,100,840,50,grass
EPNC,CHRCYNNO,PL,airfield_civil,52.57403000,20.87167000,106,28,280,840,50,grass
EPNC,CHRCYNNO,PL,airfield_civil,52.57403000,20.87167000,106,13,132,910,55,grass
EPNC,CHRCYNNO,PL,airfield_civil,52.57403000,20.87167000,106,31,312,910,55,grass
,CIESZKOWO,PL,airfield_civil,52.70028000,20.27833000,98,18,179,829,60,grass
,CIESZKOWO,PL,airfield_civil,52.70028000,20.27833000,98,36,359,829,60,grass
,CINEK KAMIONKA-NOWE,PL,airfield_civil,53.67639000,18.63111000,88,11,107,260,25,grass
,CINEK KAMIONKA-NOWE,PL,airfield_civil,53.67639000,18.63111000,88,29,287,260,25,grass
,CZARZE-RAFA,PL,airfield_civil,53.21306000,18.21667000,28,06,60,450,30,grass
,CZARZE-RAFA,PL,airfield_civil,53.21306000,18.21667000,28,24,240,450,30,grass
,CZERSK ŚWIECKI,PL,airfield_civil,53.57611000,18.48528000,85,16,163,770,23,asphalt
,CZERSK ŚWIECKI,PL,airfield_civil,53.57611000,18.48528000,85,34,343,770,23,asphalt
,DACHOWA,PL,closed,52.21528000,20.19333000,79,16,160,270,15,grass
,DACHOWA,PL,closed,52.21528000,20.19333000,79,34,340,270,15,grass
,DABROWNO,PL,ultralight,51.87917000,15.91972000,85,10,98,350,50,grass
,DABROWNO,PL,ultralight,51.87917000,15.91972000,85,28,278,350,50,grass
,CZAPLINEK-BROCZYNO,PL,airfield_civil,53.51972000,16.28333000,155,10,104,2300,30,concrete
,CZAPLINEK-BROCZYNO,PL,airfield_civil,53.51972000,16.28333000,155,28,284,2300,30,concrete
EPOD,DAJTKI K/OLSZTYNA,PL,airfield_civil,53.77383000,20.41389000,130,09R,90,849,100,grass
EPOD,DAJTKI K/OLSZTYNA,PL,airfield_civil,53.77383000,20.41389000,130,27L,270,849,100,grass
EPOD,DAJTKI K/OLSZTYNA,PL,airfield_civil,53.77383000,20.41389000,130,09L,90,850,23,asphalt
EPOD,DAJTKI K/OLSZTYNA,PL,airfield_civil,53.77383000,20.41389000,130,27R,270,850,23,asphalt
EPDA,DARŁOWO,PL,military,54.40472000,16.35306000,3,04,43,600,30,asphalt
EPDA,DARŁOWO,PL,military,54.40472000,16.35306000,3,22,223,600,30,asphalt
EPDE,DĘBLIN,PL,military,51.55111000,21.89194000,120,12,121,2500,60,concrete
EPDE,DĘBLIN,PL,military,51.55111000,21.89194000,120,30,301,2500,60,concrete
,DĘBNO-DARGOMYŚL,PL,airfield_civil,52.72000000,14.62917000,52,04,45,525,30,grass
,DĘBNO-DARGOMYŚL,PL,airfield_civil,52.72000000,14.62917000,52,22,225,525,30,grass
EPDK,DĘBOWA KŁODA,PL,airfield_civil,51.61250000,23.00694000,146,01,12,922,30,grass
EPDK,DĘBOWA KŁODA,PL,airfield_civil,51.61250000,23.00694000,146,19,192,922,30,grass
EPDB,DĘBRZNO,PL,airfield_civil,53.52389000,17.25694000,155,07,67,2500,60,asphalt
EPDB,DĘBRZNO,PL,airfield_civil,53.52389000,17.25694000,155,25,247,2500,60,asphalt
EPCD,DEPUŁTYCZE KRÓLEWSKIE,PL,airfield_civil,51.08278000,23.43844000,225,01R,7,850,50,grass
EPCD,DEPUŁTYCZE KRÓLEWSKIE,PL,airfield_civil,51.08278000,23.43844000,225,19L,187,850,50,grass
EPCD,DEPUŁTYCZE KRÓLEWSKIE,PL,airfield_civil,51.08278000,23.43844000,225,01L,7,720,50,grass
EPCD,DEPUŁTYCZE KRÓLEWSKIE,PL,airfield_civil,51.08278000,23.43844000,225,19R,187,720,50,grass
,DONIMIERZ,PL,airfield_civil,54.48667000,18.16722000,176,10,95,400,25,grass
,DONIMIERZ,PL,airfield_civil,54.48667000,18.16722000,176,28,275,400,25,grass
EPDR,DRAWSKO POMORSKIE,PL,closed,53.47750000,15.73111000,122,12,121,2300,28,concrete
EPDR,DRAWSKO POMORSKIE,PL,closed,53.47750000,15.73111000,122,30,301,2300,28,concrete
,DRAHIMEK,PL,airfield_civil,53.61500000,16.18556000,136,15,149,680,60,grass
,DRAHIMEK,PL,airfield_civil,53.61500000,16.18556000,136,33,329,680,60,grass
,DRAHIMEK,PL,airfield_civil,53.61500000,16.18556000,136,09,86,450,60,grass
,DRAHIMEK,PL,airfield_civil,53.61500000,16.18556000,136,27,266,450,60,grass
,DZIAŁYŃ,PL,airfield_civil,52.60389000,17.47694000,112,10,104,800,50,grass
,DZIAŁYŃ,PL,airfield_civil,52.60389000,17.47694000,112,28,284,800,50,grass
EPEL,ELBLĄG,PL,airfield_civil,54.14089000,19.42335000,3,10,100,700,50,grass
EPEL,ELBLĄG,PL,airfield_civil,54.14089000,19.42335000,3,28,280,700,50,grass
EPEL,ELBLĄG,PL,airfield_civil,54.14089000,19.42335000,3,08,76,913,100,grass
EPEL,ELBLĄG,PL,airfield_civil,54.14089000,19.42335000,3,26,256,913,100,grass
EPEK,EŁK-MAKOSIEJE,PL,airfield_civil,53.80722000,22.54083000,122,04,40,463,30,grass
EPEK,EŁK-MAKOSIEJE,PL,airfield_civil,53.80722000,22.54083000,122,22,220,463,30,grass
EPFP,FOLWARK-PIASKI,PL,airfield_civil,52.47944000,17.76833000,118,14,145,450,32,grass
EPFP,FOLWARK-PIASKI,PL,airfield_civil,52.47944000,17.76833000,118,32,325,450,32,grass
EPGM,GIŻYCKO-MAZURY RESIDENCE,PL,airfield_civil,54.00556000,21.82139000,125,11,110,860,50,grass
EPGM,GIŻYCKO-MAZURY RESIDENCE,PL,airfield_civil,54.00556000,21.82139000,125,29,290,860,50,grass
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,08L,87,700,100,grass
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,26R,267,700,100,grass
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,08R,87,900,23,asphalt
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,26L,267,900,23,asphalt
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,10,103,680,100,grass
EPGL,GLIWICE,PL,airfield_civil,50.26739000,18.67278000,257,28,283,680,100,grass
EPGD,GDAŃSK IM. LECHA WAŁESY,PL,international,54.37667000,18.46972000,135,11,113,2800,45,concrete
EPGD,GDAŃSK IM. LECHA WAŁESY,PL,international,54.37667000,18.46972000,135,29,293,2800,45,concrete
EPGE,GIŻE,PL,airfield_civil,53.98333000,22.40222000,152,13,136,780,50,grass
EPGE,GIŻE,PL,airfield_civil,53.98333000,22.40222000,152,31,316,780,50,grass
,GNIEWSKIE POLE,PL,airfield_civil,53.79056000,18.86222000,11,03,34,250,20,grass
,GNIEWSKIE POLE,PL,airfield_civil,53.79056000,18.86222000,11,21,214,250,20,grass
,GOCZAŁKOWICE,PL,airfield_civil,49.95222000,18.94194000,265,08,76,545,15,grass
